IR,SR,cq_size,ceq_size, remaining_rb, mem_bw,
0,0,0,0,0,0,
12,8,0,0,1024,2.56,
1,1,0,0,1024,5.28,
1,0,0,0,1024,5.28,
1,0,0,0,1024,3.2,
1,1,0,0,1024,3.2,
1,0,0,0,1024,3.2,
1,0,0,0,1024,3.2,
1,1,0,0,1024,3.36,
1,2,0,0,1024,3.52,
1,0,0,0,1024,4.96,
1,0,0,0,1024,4.96,
1,1,0,0,1024,4.96,
1,1,0,0,1024,4.96,
1,1,0,0,1024,4.96,
1,0,0,0,1024,4.96,
1,1,0,0,1024,4.96,
1,0,0,0,1024,4.16,
1,1,0,0,1024,4.16,
1,1,0,0,1024,4.16,
1,1,0,0,1024,4.16,
1,0,0,0,1024,4.16,
1,1,0,0,1024,4.16,
1,4,0,0,1024,4.16,
1,0,0,0,1024,4.64,
1,0,0,0,1024,4.64,
1,0,0,0,1024,2.72,
1,1,0,0,1024,2.72,
1,1,0,0,1024,2.72,
1,1,0,0,1024,4.64,
1,0,0,0,1024,4.64,
1,1,0,0,1024,4.64,
1,0,0,0,1024,4.64,
1,9,0,0,1024,4.64,
1,0,0,0,1024,4.64,
1,0,0,0,1024,1.76,
1,0,0,0,1024,1.76,
1,0,0,0,1024,1.76,
1,0,0,0,1024,1.76,
1,0,0,0,1024,1.76,
1,0,0,0,1024,5.44,
1,1,0,0,1024,5.44,
1,1,0,0,1024,5.44,
1,2,0,0,1024,5.44,
1,0,0,0,1024,5.44,
1,1,0,0,1024,5.44,
1,5,0,0,1024,4.64,
1,0,0,0,1024,4.64,
1,0,0,0,1024,4.64,
1,0,0,0,1024,5.6,
1,0,0,0,1024,4.16,
1,1,0,0,1024,4.16,
1,1,0,0,1024,4.16,
1,2,0,0,1024,4.16,
1,1,0,0,1024,5.6,
1,2,0,0,1024,5.28,
1,0,0,0,1024,4,
1,1,0,0,1024,6.88,
1,1,0,0,1024,6.88,
1,1,0,0,1024,6.88,
1,1,0,0,1024,4.16,
1,0,0,0,1024,4.64,
1,2,0,0,1024,4.64,
1,1,0,0,1024,4.64,
1,1,0,0,1024,4.64,
1,1,0,0,1024,4.64,
1,0,0,0,1024,4.64,
1,1,0,0,1024,4.64,
1,1,0,0,1024,4.64,
1,3,0,0,1024,4.64,
1,0,0,0,1024,5.92,
1,1,0,0,1024,3.68,
1,1,0,0,1024,3.68,
1,0,0,0,1024,3.68,
3,7,0,0,1024,5.44,
1,0,0,0,1024,4.8,
3,0,0,0,1024,4.8,
4,5,0,0,1024,4.64,
2,2,0,0,1024,3.68,
6,11,0,0,1024,6.88,
13,8,0,0,1024,6.08,
1,0,0,0,1024,3.36,
4,5,0,0,1024,3.36,
2,2,0,0,1024,6.24,
1,0,0,0,1024,5.44,
8,9,0,0,1024,4.16,
1,0,0,0,1024,4.16,
2,3,0,0,1024,5.6,
1,0,0,0,1024,5.6,
5,9,0,0,1024,6.88,
1,0,0,0,1024,6.88,
2,0,0,0,1024,2.72,
2,4,0,0,1024,8.32,
1,0,0,0,1024,8.32,
5,4,0,0,1024,4.16,
1,3,0,0,1024,4.8,
1,0,0,0,1024,5.44,
1,0,0,0,1024,5.44,
8,5,0,0,1024,3.04,
1,12,0,0,1024,3.04,
8,0,0,0,1024,4.48,
2,2,0,0,1024,3.52,
1,2,0,0,1024,6.24,
2,1,0,0,1024,4.48,
1,2,0,0,1024,5.92,
6,6,0,0,1024,4.8,
1,0,0,0,1024,5.92,
2,3,0,0,1024,5.92,
2,3,0,0,1024,5.28,
8,6,0,0,1024,5.28,
2,5,0,0,1024,3.36,
2,0,0,0,1024,4.96,
2,5,0,0,1024,5.12,
5,1,0,0,1024,4.64,
5,6,0,0,1024,4.64,
1,1,0,0,1024,5.6,
1,0,0,0,1024,5.6,
2,2,0,0,1024,4.48,
4,6,0,0,1024,4.16,
1,0,0,0,1024,6.4,
6,6,0,0,1024,6.4,
6,11,0,0,1024,4,
4,0,0,0,1024,6.56,
2,1,0,0,1024,6.4,
2,1,0,0,1024,4.64,
4,4,0,0,1024,4.48,
1,1,0,0,1024,5.12,
1,1,0,0,1024,5.44,
1,1,0,0,1024,5.44,
3,3,0,0,1024,3.84,
1,3,0,0,1024,3.84,
1,0,0,0,1024,3.84,
3,2,0,0,1024,5.12,
1,0,0,0,1024,8,
4,5,0,0,1024,8,
3,4,0,0,1024,4,
2,1,0,0,1024,4.8,
1,0,0,0,1024,4.8,
8,9,0,0,1024,5.12,
2,0,0,0,1024,5.12,
6,12,0,0,1024,4.64,
6,2,0,0,1024,4.32,
1,0,0,0,1024,6.88,
3,6,0,0,1024,6.88,
3,0,0,0,1024,6.08,
6,7,0,0,1024,3.68,
1,0,0,0,1024,6.56,
1,2,0,0,1024,6.56,
2,2,0,0,1024,6.08,
3,4,0,0,1024,4.16,
1,0,0,0,1024,6.88,
1,1,0,0,1024,4.48,
1,1,0,0,1024,4.48,
7,11,0,0,1024,6.08,
1,0,0,0,1024,6.08,
2,0,0,0,1024,3.2,
1,1,0,0,1024,5.6,
5,4,0,0,1024,2.08,
7,7,0,0,1024,4.32,
1,0,0,0,1024,6.88,
2,4,0,0,1024,6.88,
4,3,0,0,1024,4.48,
5,5,0,0,1024,5.44,
5,6,0,0,1024,3.04,
3,2,0,0,1024,6.08,
2,2,0,0,1024,5.28,
3,3,0,0,1024,4.96,
1,2,0,0,1024,4.32,
1,0,0,0,1024,9.12,
2,2,0,0,1024,2.88,
1,1,0,0,1024,2.88,
1,1,0,0,1024,6.88,
1,4,0,0,1024,4.96,
3,0,0,0,1024,5.6,
1,0,0,0,1024,3.52,
4,13,0,0,1024,3.52,
7,0,0,0,1024,2.4,
1,0,0,0,1024,2.4,
4,7,0,0,1024,2.4,
6,1,0,0,1024,4.96,
4,13,0,0,1024,7.2,
7,0,0,0,1024,5.12,
4,4,0,0,1024,6.08,
1,2,0,0,1024,5.76,
3,2,0,0,1024,5.76,
2,2,0,0,1024,7.04,
1,1,0,0,1024,5.28,
3,8,0,0,1024,4.16,
2,0,0,0,1024,3.68,
1,0,0,0,1024,9.44,
5,8,0,0,1024,9.44,
4,1,0,0,1024,3.2,
2,2,0,0,1024,6.56,
6,4,0,0,1024,4,
8,15,0,0,1024,4,
9,2,0,0,1024,4.96,
1,0,0,0,1024,1.6,
1,2,0,0,1024,1.6,
2,2,0,0,1024,4.96,
6,6,0,0,1024,6.88,
1,1,0,0,1024,4.96,
1,1,0,0,1024,4.96,
1,1,0,0,1024,5.76,
6,7,0,0,1024,4.96,
1,0,0,0,1024,5.12,
4,4,0,0,1024,5.12,
5,6,0,0,1024,6.4,
1,1,0,0,1024,4,
3,2,0,0,1024,7.04,
1,1,0,0,1024,7.04,
11,12,0,0,1024,4.96,
1,0,0,0,1024,5.12,
1,0,0,0,1024,5.44,
4,5,0,0,1024,6.24,
1,0,0,0,1024,6.08,
3,5,0,0,1024,6.08,
1,0,0,0,1024,2.08,
6,6,0,0,1024,4.8,
1,1,0,0,1024,4.8,
4,4,0,0,1024,4.8,
5,8,0,0,1024,2.88,
4,1,0,0,1024,6.72,
3,3,0,0,1024,2.88,
1,0,0,0,1024,5.28,
6,7,0,0,1024,4.8,
1,0,0,0,1024,5.44,
2,4,0,0,1024,5.44,
2,1,0,0,1024,4.48,
3,3,0,0,1024,4.64,
4,7,0,0,1024,5.6,
5,3,0,0,1024,5.6,
4,2,0,0,1024,4.16,
5,8,0,0,1024,4.16,
2,0,0,0,1024,4.96,
5,10,0,0,1024,4.32,
5,0,0,0,1024,6.72,
4,5,0,0,1024,1.6,
3,2,0,0,1024,4.96,
2,3,0,0,1024,4.96,
3,2,0,0,1024,4.16,
1,1,0,0,1024,4.16,
4,5,0,0,1024,7.84,
1,1,0,0,1024,7.84,
7,10,0,0,1024,7.2,
1,0,0,0,1024,7.2,
1,0,0,0,1024,5.92,
1,0,0,0,1024,5.92,
4,7,0,0,1024,4.16,
1,0,0,0,1024,4.16,
2,0,0,0,1024,4.8,
5,4,0,0,1024,5.44,
6,6,0,0,1024,4.16,
1,0,0,0,1024,7.04,
2,5,0,0,1024,7.04,
3,2,0,0,1024,3.36,
3,3,0,0,1024,9.44,
11,14,0,0,1024,3.2,
1,0,0,0,1024,3.2,
3,0,0,0,1024,8.8,
2,3,0,0,1024,2.88,
3,2,0,0,1024,4,
2,2,0,0,1024,4.96,
5,6,0,0,1024,7.84,
1,0,0,0,1024,7.84,
1,1,0,0,1024,5.12,
2,2,0,0,1024,4.48,
1,1,0,0,1024,4.48,
12,12,0,0,1024,5.44,
3,0,0,0,1024,5.44,
3,7,0,0,1024,5.44,
2,1,0,0,1024,5.6,
5,6,0,0,1024,5.76,
3,2,0,0,1024,4.96,
3,8,0,0,1024,8,
5,0,0,0,1024,4,
2,3,0,0,1024,2.08,
20,19,0,0,1024,5.76,
1,0,0,0,1024,4,
6,7,0,0,1024,4,
6,6,0,0,1024,5.92,
3,3,0,0,1024,4.48,
2,2,0,0,1024,9.12,
3,4,0,0,1024,2.72,
3,2,0,0,1024,5.12,
2,4,0,0,1024,7.04,
3,2,0,0,1024,7.2,
1,1,0,0,1024,7.2,
4,3,0,0,1024,7.2,
9,9,0,0,1024,4.48,
1,0,0,0,1024,4.96,
4,10,0,0,1024,4.96,
5,0,0,0,1024,4.32,
5,5,0,0,1024,4.48,
6,6,0,0,1024,4.48,
8,8,0,0,1024,4,
5,5,0,0,1024,4.16,
4,4,0,0,1024,4.96,
7,7,0,0,1024,4.96,
5,5,0,0,1024,4,
6,6,0,0,1024,4.64,
5,5,0,0,1024,4.64,
4,4,0,0,1024,3.84,
4,4,0,0,1024,5.76,
5,5,0,0,1024,4.32,
8,8,0,0,1024,4.32,
13,13,0,0,1024,3.2,
1,3,0,0,1024,3.2,
5,3,0,0,1024,4.16,
4,4,0,0,1024,4.96,
5,5,0,0,1024,4.16,
6,6,0,0,1024,4.8,
