IR,SR,cq_size,ceq_size, remaining_rb, mem_bw,
0,0,0,0,0,0,
12,6,0,0,1024,3.44,
1,3,0,0,1024,2.56,
1,0,0,0,1024,2.88,
1,0,0,0,1024,2.88,
1,0,0,0,1024,2.88,
1,0,0,0,1024,2.88,
1,1,0,0,1024,4.16,
1,0,0,0,1024,4.16,
1,1,0,0,1024,3.68,
1,2,0,0,1024,3.36,
1,0,0,0,1024,3.2,
1,0,0,0,1024,3.2,
1,1,0,0,1024,3.2,
1,0,0,0,1024,3.2,
1,2,0,0,1024,3.2,
1,0,0,0,1024,3.2,
1,1,0,0,1024,4.32,
1,1,0,0,1024,4.32,
1,1,0,0,1024,4.32,
1,1,0,0,1024,4.32,
1,2,0,0,1024,4.32,
1,0,0,0,1024,4.32,
1,0,0,0,1024,4.32,
1,1,0,0,1024,5.44,
1,1,0,0,1024,5.44,
1,0,0,0,1024,5.44,
1,1,0,0,1024,5.44,
1,2,0,0,1024,5.44,
1,1,0,0,1024,5.44,
1,2,0,0,1024,5.44,
1,1,0,0,1024,5.44,
1,1,0,0,1024,5.44,
1,2,0,0,1024,2.88,
1,1,0,0,1024,2.88,
1,1,0,0,1024,2.88,
1,0,0,0,1024,2.88,
1,0,0,0,1024,2.88,
1,1,0,0,1024,2.88,
1,2,0,0,1024,5.12,
1,1,0,0,1024,5.12,
1,0,0,0,1024,4.48,
1,1,0,0,1024,5.6,
1,1,0,0,1024,3.04,
1,0,0,0,1024,5.6,
1,6,0,0,1024,5.6,
1,0,0,0,1024,5.6,
1,0,0,0,1024,5.6,
1,0,0,0,1024,6.24,
1,0,0,0,1024,6.24,
1,0,0,0,1024,3.52,
1,5,0,0,1024,3.52,
1,0,0,0,1024,3.52,
1,0,0,0,1024,3.52,
1,0,0,0,1024,5.44,
1,1,0,0,1024,2.08,
1,1,0,0,1024,2.08,
1,1,0,0,1024,2.08,
1,1,0,0,1024,2.08,
1,0,0,0,1024,2.08,
1,1,0,0,1024,2.08,
1,2,0,0,1024,2.56,
1,1,0,0,1024,2.56,
1,2,0,0,1024,6.4,
1,1,0,0,1024,3.04,
1,0,0,0,1024,3.04,
1,1,0,0,1024,5.76,
1,1,0,0,1024,3.84,
1,2,0,0,1024,3.84,
1,1,0,0,1024,4.16,
1,2,0,0,1024,4.16,
1,0,0,0,1024,4.16,
1,0,0,0,1024,4.16,
3,4,0,0,1024,5.92,
1,1,0,0,1024,3.84,
2,1,0,0,1024,3.84,
5,4,0,0,1024,4,
3,9,0,0,1024,4.16,
5,0,0,0,1024,5.28,
4,5,0,0,1024,4.48,
4,3,0,0,1024,4.96,
3,4,0,0,1024,6.08,
6,11,0,0,1024,6.08,
5,0,0,0,1024,4.32,
7,6,0,0,1024,4.96,
1,1,0,0,1024,2.08,
1,1,0,0,1024,4.8,
2,2,0,0,1024,4.8,
6,10,0,0,1024,4.64,
1,0,0,0,1024,4.64,
6,3,0,0,1024,4.96,
3,4,0,0,1024,4.32,
1,1,0,0,1024,4.32,
1,0,0,0,1024,4.32,
1,1,0,0,1024,4.32,
4,1,0,0,1024,3.04,
1,6,0,0,1024,3.04,
3,0,0,0,1024,5.6,
4,5,0,0,1024,2.56,
2,2,0,0,1024,4.48,
1,3,0,0,1024,4.64,
3,1,0,0,1024,4.64,
4,4,0,0,1024,5.92,
1,1,0,0,1024,2.88,
4,5,0,0,1024,6.56,
1,1,0,0,1024,1.76,
3,2,0,0,1024,4.64,
1,0,0,0,1024,5.6,
3,4,0,0,1024,5.6,
2,2,0,0,1024,3.04,
3,3,0,0,1024,4.32,
1,0,0,0,1024,5.28,
2,3,0,0,1024,5.28,
1,1,0,0,1024,5.28,
3,3,0,0,1024,4.16,
1,2,0,0,1024,5.12,
1,0,0,0,1024,3.68,
4,4,0,0,1024,4.64,
4,4,0,0,1024,4.48,
1,0,0,0,1024,4.8,
3,4,0,0,1024,4.8,
4,4,0,0,1024,4.16,
1,1,0,0,1024,6.4,
5,5,0,0,1024,5.12,
1,1,0,0,1024,5.12,
3,3,0,0,1024,2.4,
3,3,0,0,1024,4.96,
5,11,0,0,1024,4.32,
6,0,0,0,1024,6.24,
3,3,0,0,1024,6.56,
3,3,0,0,1024,3.04,
1,1,0,0,1024,3.04,
2,2,0,0,1024,5.44,
1,1,0,0,1024,3.36,
1,1,0,0,1024,3.68,
1,1,0,0,1024,4.48,
1,1,0,0,1024,4.48,
1,1,0,0,1024,5.92,
1,0,0,0,1024,5.92,
1,2,0,0,1024,4.32,
1,1,0,0,1024,4,
1,1,0,0,1024,2.88,
2,2,0,0,1024,5.76,
2,2,0,0,1024,3.04,
1,1,0,0,1024,3.04,
1,2,0,0,1024,3.84,
5,3,0,0,1024,3.2,
4,6,0,0,1024,4.8,
2,1,0,0,1024,3.84,
2,2,0,0,1024,5.6,
1,1,0,0,1024,4.16,
7,7,0,0,1024,5.6,
1,0,0,0,1024,5.6,
4,6,0,0,1024,4.16,
4,5,0,0,1024,3.36,
5,4,0,0,1024,4.8,
3,3,0,0,1024,5.28,
3,3,0,0,1024,5.28,
2,1,0,0,1024,3.2,
3,3,0,0,1024,3.68,
1,0,0,0,1024,7.04,
1,4,0,0,1024,7.04,
3,1,0,0,1024,4.16,
5,5,0,0,1024,5.6,
4,4,0,0,1024,2.4,
5,6,0,0,1024,4.64,
3,2,0,0,1024,4.64,
5,5,0,0,1024,4.96,
1,1,0,0,1024,3.84,
2,2,0,0,1024,4.96,
1,1,0,0,1024,4.16,
4,6,0,0,1024,4.48,
1,0,0,0,1024,4.48,
1,0,0,0,1024,4.48,
2,2,0,0,1024,5.44,
3,3,0,0,1024,3.04,
4,4,0,0,1024,6.08,
2,2,0,0,1024,4.64,
1,1,0,0,1024,4.32,
1,2,0,0,1024,4.96,
1,1,0,0,1024,4.96,
3,4,0,0,1024,3.52,
2,0,0,0,1024,3.52,
2,3,0,0,1024,4.8,
2,2,0,0,1024,3.68,
5,5,0,0,1024,3.68,
6,12,0,0,1024,3.52,
6,1,0,0,1024,2.88,
1,0,0,0,1024,5.04,
1,0,0,0,1024,5.28,
1,1,0,0,1024,5.28,
2,3,0,0,1024,4.32,
1,1,0,0,1024,4.8,
1,1,0,0,1024,4.8,
1,0,0,0,1024,4.8,
6,10,0,0,1024,5.28,
1,0,0,0,1024,5.28,
6,3,0,0,1024,4.16,
1,1,0,0,1024,4.16,
1,1,0,0,1024,3.68,
2,2,0,0,1024,4.8,
4,4,0,0,1024,5.76,
3,3,0,0,1024,3.04,
3,3,0,0,1024,4.4,
1,0,0,0,1024,4.4,
1,3,0,0,1024,4.16,
2,1,0,0,1024,2.72,
1,0,0,0,1024,2.72,
2,3,0,0,1024,3.52,
1,1,0,0,1024,4.48,
6,6,0,0,1024,4.32,
1,3,0,0,1024,2.72,
1,0,0,0,1024,2.72,
6,5,0,0,1024,5.6,
1,3,0,0,1024,5.6,
2,0,0,0,1024,5.76,
4,4,0,0,1024,5.28,
1,3,0,0,1024,4.48,
1,0,0,0,1024,4.96,
1,0,0,0,1024,4.96,
2,3,0,0,1024,3.84,
3,2,0,0,1024,4.16,
1,1,0,0,1024,3.84,
1,0,0,0,1024,5.28,
1,2,0,0,1024,5.28,
4,4,0,0,1024,4.8,
5,5,0,0,1024,5.44,
4,4,0,0,1024,5.28,
3,3,0,0,1024,3.36,
3,4,0,0,1024,5.12,
1,1,0,0,1024,5.12,
1,1,0,0,1024,3.92,
1,1,0,0,1024,4.8,
1,1,0,0,1024,4.8,
3,3,0,0,1024,4.8,
1,0,0,0,1024,3.04,
3,5,0,0,1024,3.04,
2,0,0,0,1024,4.32,
2,2,0,0,1024,6.24,
1,1,0,0,1024,3.68,
2,2,0,0,1024,4.64,
3,5,0,0,1024,5.76,
6,4,0,0,1024,5.12,
1,0,0,0,1024,4.64,
3,4,0,0,1024,4.64,
4,4,0,0,1024,4.8,
4,4,0,0,1024,6.88,
1,3,0,0,1024,6.88,
3,1,0,0,1024,4.96,
1,3,0,0,1024,4.32,
1,0,0,0,1024,4.32,
1,0,0,0,1024,4,
2,2,0,0,1024,4.48,
1,0,0,0,1024,5.12,
1,2,0,0,1024,5.12,
2,2,0,0,1024,4.8,
1,1,0,0,1024,4.48,
2,2,0,0,1024,5.76,
1,1,0,0,1024,5.76,
3,8,0,0,1024,4.32,
10,5,0,0,1024,5.76,
1,1,0,0,1024,3.2,
1,4,0,0,1024,3.84,
1,0,0,0,1024,3.84,
2,0,0,0,1024,3.84,
1,1,0,0,1024,4.8,
5,5,0,0,1024,4.8,
5,5,0,0,1024,5.28,
5,5,0,0,1024,4.48,
3,3,0,0,1024,4.64,
1,1,0,0,1024,4.64,
3,3,0,0,1024,4.96,
4,4,0,0,1024,4.48,
1,1,0,0,1024,4.32,
3,3,0,0,1024,3.04,
1,0,0,0,1024,3.04,
3,4,0,0,1024,4.32,
1,1,0,0,1024,4.32,
2,2,0,0,1024,5.12,
3,3,0,0,1024,3.04,
4,4,0,0,1024,4.32,
3,6,0,0,1024,3.68,
3,0,0,0,1024,6.24,
2,3,0,0,1024,5.44,
2,1,0,0,1024,5.28,
2,3,0,0,1024,4.64,
3,3,0,0,1024,4.64,
7,6,0,0,1024,3.52,
1,1,0,0,1024,3.52,
1,1,0,0,1024,4.64,
1,1,0,0,1024,4,
1,1,0,0,1024,4,
2,2,0,0,1024,5.44,
2,6,0,0,1024,5.44,
3,0,0,0,1024,3.84,
4,4,0,0,1024,4.96,
3,3,0,0,1024,4.96,
2,1,0,0,1024,5.12,
1,2,0,0,1024,3.2,
2,2,0,0,1024,4.64,
2,1,0,0,1024,4.8,
1,1,0,0,1024,3.04,
8,8,0,0,1024,4.32,
1,0,0,0,1024,4.32,
3,4,0,0,1024,4.16,
4,4,0,0,1024,4.8,
1,2,0,0,1024,4.48,
1,0,0,0,1024,4,
2,2,0,0,1024,4.48,
1,1,0,0,1024,4.96,
